Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-9.9502,-3.9482,0.91503,0.0,-10.152,0.0,-6.3194,-3.9482,-12.127,-13.068,-16.535999,-6.6992,-11.837,-6.8309,-9.9502,-4.7665,-18.157,-7.0,-14.917,-5.0761,-10.837
-4.9751,-3.9482,-1.0458,-0.98522,-8.1218,-0.98522,-7.3611,-3.9482,-1.072,-9.0879,-9.6732,-2.7967,-7.935,0.06568,-7.9602,0.06441,-10.117,-3.0,-7.9868,-6.0914,-8.867
-2.9851,-6.8608,-2.0261,-2.9557,-9.1371,-2.9557,-8.4028,-6.8608,4.9581,-8.0929,-3.7908,-3.7724,-5.9837,3.0213,-6.9652,1.0306,-7.1022,0.0,-4.0264,-8.1218,-7.8818
0.0,-3.9482,-0.06536,-0.98522,-7.1066,-0.98522,-5.2778,-3.9482,5.9631,-6.1028,2.0915,1.1057,-5.0081,5.977,-3.9801,2.963,-5.0921,3.0,-0.06601,-6.0914,-4.9261
0.0,-1.0356,2.8758,1.9704,-3.0457,1.9704,-1.1111,-1.0356,4.9581,-2.1227,3.0719,4.0325,-4.0325,3.0213,-0.99502,2.963,-4.0871,4.0,-0.06601,-4.0609,0.0
-5.9701,-2.0065,-1.0458,-0.98522,-2.0305,-0.98522,-4.2361,-2.0065,-3.0821,-3.1177,-6.732,1.1057,-6.9593,-4.8604,-4.9751,-2.8341,-7.1022,-2.0,-6.9967,-4.0609,-0.98522
-12.935,-1.0356,-3.0065,-1.9704,-2.0305,-1.9704,-5.2778,-1.0356,-8.1072,-7.0978,-11.634,-3.7724,-8.9106,-10.772,-8.9552,-7.6651,-13.132,-9.0,-13.927,-4.0609,0.0
-11.94,1.877,-0.06536,0.0,0.0,0.0,-1.1111,1.877,-8.1072,-5.1078,-6.732,-2.7967,-5.0081,-7.8161,-3.9801,-7.6651,-10.117,-8.0,-12.937,-4.0609,3.9409
-12.935,-0.06472,-1.0458,-1.9704,-3.0457,-1.9704,-3.1944,-0.06472,3.9531,-7.0978,-9.6732,-2.7967,-11.837,-9.7865,-3.9801,-8.6312,-11.122,-8.0,-13.927,-5.0761,1.9704
-15.92,-2.0065,-3.0065,-2.9557,-6.0914,-2.9557,-5.2778,-2.0065,11.993,-13.068,-18.497,-5.7236,-12.813,-13.727,-7.9602,-13.462,-15.142,-12.0,-17.888,-6.0914,-1.9704
-14.925,1.877,-2.0261,0.98522,-4.0609,0.98522,-2.1528,1.877,0.93802,-14.063,-18.497,-7.6748,-8.9106,-10.772,-7.9602,-10.564,-12.127,-12.0,-17.888,-4.0609,0.0
-9.9502,3.8188,-0.06536,3.9409,-1.0152,3.9409,0.97222,3.8188,-10.117,-10.083,-15.556,-7.6748,-10.862,-7.8161,-3.9801,-4.7665,-9.1122,-9.0,-13.927,-3.0457,3.9409
-7.9602,1.877,-0.06536,0.98522,-2.0305,0.98522,-0.06944,1.877,-13.132,-6.1028,-13.595,-7.6748,-9.8862,-7.8161,-4.9751,-3.8003,-8.1072,-8.0,-11.947,-3.0457,2.9557
