Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-2.9851,8.6731,13.66,13.793,3.0457,13.793,10.347,8.6731,6.9682,-6.1028,6.9935,8.9106,6.6992,5.977,0.0,10.692,-2.0771,4.0,-1.0561,12.183,4.9261
-5.9701,12.557,13.66,16.749001,8.1218,16.749001,14.514,12.557,9.9832,-1.1277,4.0523,9.8862,7.6748,2.0361,3.9801,6.8277,0.93802,4.0,-3.0363,14.213,10.837
-0.99502,16.440001,26.405001,19.704,14.213,19.704,19.722,16.440001,23.049,3.8474,6.0131,12.813,12.553,4.9918,8.9552,5.8615,7.9732,6.0,3.8944,17.259001,16.749001
-0.99502,14.498,19.542,17.733999,10.152,17.733999,13.472,14.498,16.013,-1.1277,8.9542,3.0569,5.7236,2.0361,0.99502,-0.90177,3.9531,0.0,5.8746,13.198,10.837
6.9652,15.469,10.719,16.749001,11.168,16.749001,11.389,15.469,1.943,-0.13267,14.837,3.0569,1.8211,9.9179,0.0,1.9968,6.9682,2.0,13.795,13.198,11.823
12.935,15.469,10.719,16.749001,11.168,16.749001,11.389,15.469,-0.067,3.8474,18.757999,5.9837,3.7724,18.785,2.9851,9.7262,10.988,5.0,19.736,12.183,12.808
19.9,16.440001,13.66,19.704,15.228,19.704,15.556,16.440001,2.9481,9.8176,16.797001,9.8862,3.7724,26.667,10.945,22.287001,14.003,14.0,23.695999,13.198,16.749001
21.891001,19.353001,17.582001,21.674999,20.305,21.674999,18.681,19.353001,15.008,13.798,9.9346,12.813,5.7236,26.667,13.93,28.084,16.013,19.0,21.716,17.259001,20.690001
17.91,22.264999,19.542,23.645,22.334999,23.645,19.722,22.264999,18.023001,14.793,8.9542,17.691,11.577,19.77,14.925,23.253,16.013,18.0,15.776,18.274,21.674999
11.94,24.207001,21.503,23.645,24.365,23.645,23.889,24.207001,21.039,16.783001,9.9346,19.642,16.455,12.874,16.915001,13.591,17.018,13.0,10.825,20.305,23.645
-3.9801,25.177999,20.523001,21.674999,23.35,21.674999,19.722,25.177999,-2.0771,10.813,-0.84967,2.0813,15.48,-4.8604,6.9652,-3.8003,11.993,-4.0,-4.0264,22.334999,19.704
-10.945,27.120001,17.582001,21.674999,25.381001,21.674999,18.681,27.120001,-5.0921,10.813,-4.7712,0.13008,10.602,-14.713,5.9701,-9.5974,9.9832,-7.0,-12.937,26.396,21.674999
-6.9652,26.149,17.582001,22.66,28.426001,22.66,21.806,26.149,14.003,19.768,3.0719,6.9593,9.626,-13.727,14.925,-6.6989,17.018,-1.0,-8.9769,28.426001,25.615999
0.0,23.236,18.562,23.645,27.410999,23.645,23.889,23.236,8.9782,23.747999,10.915,6.9593,10.602,-7.8161,18.905001,-3.8003,21.039,2.0,0.92409,26.396,25.615999
6.9652,19.353001,17.582001,19.704,22.334999,19.704,21.806,19.353001,11.993,21.757999,10.915,4.0325,11.577,-0.91954,16.915001,0.06441,19.028,5.0,8.8449,22.334999,21.674999
14.925,17.410999,13.66,15.764,21.32,15.764,19.722,17.410999,20.034,19.768,16.797001,7.935,14.504,13.859,14.925,8.7601,22.044001,10.0,19.736,22.334999,19.704
21.891001,16.440001,13.66,14.778,22.334999,14.778,19.722,16.440001,17.018,18.773001,22.68,15.74,17.431,27.652,14.925,17.455999,25.059,16.0,26.667,21.32,19.704
31.841,18.382,18.562,17.733999,25.381001,17.733999,24.931,18.382,10.988,24.743,32.484001,23.545,24.26,37.504002,22.886,28.084,29.079,25.0,33.597,22.334999,24.631001
33.831001,19.353001,21.503,20.690001,26.396,20.690001,27.014,19.353001,1.943,25.738001,26.601,21.593,22.309,33.563,25.871,29.049999,27.069,26.0,30.627001,20.305,25.615999
25.871,18.382,25.424999,20.690001,22.334999,20.690001,27.014,18.382,2.9481,21.757999,10.915,19.642,10.602,20.754999,22.886,18.422001,18.023001,19.0,19.736,15.228,23.645
16.915001,17.410999,20.523001,19.704,18.274,19.704,25.972,17.410999,18.023001,17.778,2.0915,10.862,7.6748,9.9179,19.9,8.7601,11.993,11.0,10.825,14.213,20.690001
9.9502,18.382,14.641,19.704,17.259001,19.704,23.889,18.382,17.018,11.808,2.0915,2.0813,9.626,4.0066,13.93,1.0306,7.9732,5.0,3.8944,16.243999,18.719
10.945,24.207001,21.503,24.631001,24.365,24.631001,29.097,24.207001,25.059,13.798,12.876,16.715,15.48,0.06568,18.905001,1.0306,11.993,11.0,4.8845,24.365,23.645
10.945,26.149,23.464001,26.601,26.396,26.601,31.181,26.149,4.9581,14.793,11.895,16.715,15.48,-3.8752,17.91,2.963,14.003,13.0,2.9043,25.381001,24.631001
9.9502,24.207001,23.464001,26.601,22.334999,26.601,29.097,24.207001,4.9581,13.798,5.0327,5.0081,13.528,-5.8456,12.935,3.9291,14.003,9.0,0.92409,22.334999,21.674999
12.935,23.236,22.483999,25.615999,22.334999,25.615999,27.014,23.236,10.988,16.783001,9.9346,6.9593,16.455,2.0361,12.935,7.7939,17.018,8.0,8.8449,21.32,21.674999
12.935,16.440001,16.601,18.719,17.259001,18.719,19.722,16.440001,16.013,12.803,10.915,5.9837,8.6504,9.9179,8.9552,10.692,11.993,7.0,11.815,15.228,16.749001
15.92,11.586,10.719,11.823,16.243999,11.823,13.472,11.586,6.9682,11.808,18.757999,12.813,5.7236,21.740999,9.9502,16.49,11.993,11.0,18.746,12.183,13.793
15.92,6.7314,4.8366,4.9261,13.198,4.9261,9.3056,6.7314,-8.1072,11.808,14.837,8.9106,4.748,27.652,5.9701,18.422001,11.993,9.0,20.726,7.1066,9.8522
12.935,0.90615,0.91503,0.98522,7.1066,0.98522,5.1389,0.90615,-9.1122,7.8275,10.915,4.0325,-0.13008,24.695999,0.0,13.591,6.9682,4.0,17.756001,4.0609,4.9261
10.945,-2.0065,1.8954,0.0,5.0761,0.0,4.0972,-2.0065,-1.072,4.8425,12.876,5.9837,1.8211,21.740999,1.99,12.625,3.9531,3.0,14.785,3.0457,2.9557
4.9751,-2.9773,2.8758,0.0,2.0305,0.0,3.0556,-2.9773,-9.1122,1.8574,6.0131,3.0569,0.84553,14.844,0.99502,7.7939,-0.067,0.0,6.8647,3.0457,0.0
4.9751,0.90615,6.7974,2.9557,7.1066,2.9557,9.3056,0.90615,-0.067,9.8176,6.9935,5.0081,2.7967,6.9622,8.9552,5.8615,5.9631,3.0,4.8845,5.0761,5.9113
0.99502,2.8479,3.8562,3.9409,7.1066,3.9409,10.347,2.8479,6.9682,10.813,-1.8301,4.0325,2.7967,-4.8604,9.9502,-0.90177,5.9631,2.0,-2.0462,4.0609,7.8818
6.9652,7.7023,15.621,8.867,9.1371,8.867,14.514,7.7023,16.013,14.793,5.0327,13.789,12.553,-4.8604,15.92,-0.90177,10.988,9.0,1.9142,7.1066,11.823
14.925,11.586,13.66,12.808,12.183,12.808,16.597,11.586,21.039,20.763,14.837,21.593,18.407,3.0213,22.886,5.8615,16.013,18.0,9.835,10.152,14.778
